,Location,Prices,Xususiy biznes,Turar joyi,Xonalar,Umumiy maydoni,Etaj,Max etaj,Mebel,Televizor,Shifoxona,Bolalar bogchasi,Kongilochar joy,Yashil maydon,Avtoturargoh,Maktab,HovliDom
82,2,28000.0,Бизнес,Вторичный рынок,1,30.0,5,5,0,0,1,1,1,1,1,1,0
83,0,31000.0,Бизнес,Вторичный рынок,1,38.0,1,4,0,0,0,0,0,0,0,0,0
84,2,36000.0,Бизнес,Вторичный рынок,1,30.0,4,5,0,0,1,1,1,1,1,1,0
85,1,39000.0,Бизнес,Вторичный рынок,2,52.0,2,4,0,0,1,1,1,1,1,1,0
86,0,44500.0,Бизнес,Вторичный рынок,2,45.0,2,4,0,0,1,1,1,1,1,1,0
87,0,39000.0,Бизнес,Вторичный рынок,2,50.0,1,4,0,0,1,1,1,1,1,1,0
88,0,35200.0,Бизнес,Вторичный рынок,1,33.0,3,4,0,0,1,1,1,1,1,1,0
89,0,31000.0,Бизнес,Вторичный рынок,1,30.0,3,4,0,0,1,1,1,1,1,1,0
90,0,30100.0,Бизнес,Вторичный рынок,1,34.0,3,4,0,0,1,1,1,1,1,1,0
91,0,77000.0,Частное лицо,Новостройки,5,98.0,6,7,1,0,1,1,0,1,1,1,0
92,0,36700.0,Бизнес,Вторичный рынок,2,48.0,4,4,0,0,1,1,1,1,1,1,0
93,2,57500.0,Бизнес,Вторичный рынок,2,62.0,3,4,0,0,1,1,1,1,1,1,0
94,2,49500.0,Бизнес,Вторичный рынок,2,50.0,2,4,0,0,1,1,1,1,1,1,0
95,0,52000.0,Бизнес,Вторичный рынок,3,73.0,9,9,0,0,1,1,1,1,1,1,0
96,2,66000.0,Бизнес,Вторичный рынок,3,75.0,9,9,1,1,1,1,1,1,1,1,0
97,0,39500.0,Бизнес,Новостройки,2,45.0,2,3,1,0,0,0,0,0,0,0,0
98,1,34000.0,Частное лицо,Вторичный рынок,2,56.0,4,4,0,0,1,1,1,1,1,1,0
99,0,39500.0,Бизнес,Вторичный рынок,2,54.0,1,4,0,0,1,1,1,1,1,1,0
100,0,38500.0,Бизнес,Вторичный рынок,2,54.0,4,4,1,1,1,1,1,1,1,1,0
101,0,43300.0,Бизнес,Вторичный рынок,2,52.0,1,4,1,0,0,0,0,0,0,0,0
102,0,38999.0,Бизнес,Вторичный рынок,3,49.0,3,4,0,0,0,0,0,0,0,0,0
103,0,41500.0,Бизнес,Вторичный рынок,2,62.0,4,5,0,0,1,1,1,1,1,1,0
104,0,25000.0,Бизнес,Вторичный рынок,1,40.0,5,5,0,1,1,1,1,1,1,1,0
105,0,50000.0,Бизнес,Вторичный рынок,3,65.0,2,4,1,0,1,1,1,1,1,1,0
106,0,34000.0,Бизнес,Вторичный рынок,1,29.0,4,4,1,0,1,1,1,1,1,1,0
107,1,43500.0,Бизнес,Вторичный рынок,2,59.0,2,4,0,0,1,1,1,1,1,1,0
108,0,43500.0,Бизнес,Вторичный рынок,2,50.0,3,4,0,0,1,1,1,1,1,1,0
109,0,51000.0,Бизнес,Вторичный рынок,3,65.0,3,4,1,1,1,1,1,1,1,1,0
110,0,43200.0,Бизнес,Вторичный рынок,2,49.0,1,4,1,0,0,0,0,0,0,0,0
111,0,29500.0,Бизнес,Вторичный рынок,1,28.0,3,5,1,1,1,1,1,1,1,1,0
112,2,90999.0,Бизнес,Новостройки,2,55.0,5,17,0,0,0,0,0,0,0,0,0
113,0,44555.0,Бизнес,Вторичный рынок,2,53.0,2,4,0,0,0,0,0,0,0,0,0
114,1,85000.0,Бизнес,Новостройки,4,295.0,8,8,0,0,0,0,0,0,0,0,0
115,0,35500.0,Бизнес,Вторичный рынок,1,33.0,4,4,0,0,1,1,1,1,1,1,0
116,1,85000.0,Бизнес,Новостройки,4,295.0,8,8,0,0,1,1,1,1,1,1,0
117,1,104000.0,Бизнес,Новостройки,3,115.0,8,9,0,0,1,1,1,1,1,1,0
118,0,51000.0,Бизнес,Вторичный рынок,3,70.0,4,5,1,0,1,1,1,1,1,1,0
119,2,125000.0,Бизнес,Новостройки,4,150.0,3,7,0,1,1,1,1,1,1,1,0
120,0,34700.0,Бизнес,Вторичный рынок,1,36.0,3,4,1,0,1,1,1,1,1,1,0
121,0,29500.0,Бизнес,Вторичный рынок,1,33.0,4,4,0,0,1,1,1,1,1,1,0
