Location,Prices,Xususiy biznes,Turar joyi,Xonalar,Umumiy maydoni,Etaj,Max etaj,Mebel,Televizor,Shifoxona,Bolalar bogchasi,Kongilochar joy,Yashil maydon,Avtoturargoh,Maktab,HovliDom
0,39000.0,Бизнес,Вторичный рынок,1,30.0,1,4,1,1,1,1,1,1,1,1,0
1,108000.0,Бизнес,Вторичный рынок,5,122.0,5,5,0,0,0,0,0,0,0,0,0
0,65000.0,Бизнес,Вторичный рынок,3,70.0,2,4,1,0,1,1,1,1,1,1,0
1,64000.0,Частное лицо,Вторичный рынок,2,64.0,7,9,1,0,0,0,0,0,0,0,0
0,54000.0,Бизнес,Вторичный рынок,3,75.0,8,9,0,0,1,1,1,1,1,1,0
1,45000.0,Бизнес,Вторичный рынок,2,60.0,1,4,0,0,0,0,0,0,0,0,0
2,55000.0,Частное лицо,Вторичный рынок,3,1.0,2,4,1,1,1,0,0,0,1,1,0
2,28000.0,Бизнес,Вторичный рынок,1,30.0,5,5,0,0,1,1,1,1,1,1,0
0,31000.0,Бизнес,Вторичный рынок,1,38.0,1,4,0,0,0,0,0,0,0,0,0
2,36000.0,Бизнес,Вторичный рынок,1,30.0,4,5,0,0,1,1,1,1,1,1,0
1,39000.0,Бизнес,Вторичный рынок,2,52.0,2,4,0,0,1,1,1,1,1,1,0
0,44500.0,Бизнес,Вторичный рынок,2,45.0,2,4,0,0,1,1,1,1,1,1,0
0,39000.0,Бизнес,Вторичный рынок,2,50.0,1,4,0,0,1,1,1,1,1,1,0
0,35200.0,Бизнес,Вторичный рынок,1,33.0,3,4,0,0,1,1,1,1,1,1,0
0,31000.0,Бизнес,Вторичный рынок,1,30.0,3,4,0,0,1,1,1,1,1,1,0
0,30100.0,Бизнес,Вторичный рынок,1,34.0,3,4,0,0,1,1,1,1,1,1,0
0,77000.0,Частное лицо,Новостройки,5,98.0,6,7,1,0,1,1,0,1,1,1,0
0,36700.0,Бизнес,Вторичный рынок,2,48.0,4,4,0,0,1,1,1,1,1,1,0
2,57500.0,Бизнес,Вторичный рынок,2,62.0,3,4,0,0,1,1,1,1,1,1,0
2,49500.0,Бизнес,Вторичный рынок,2,50.0,2,4,0,0,1,1,1,1,1,1,0
0,52000.0,Бизнес,Вторичный рынок,3,73.0,9,9,0,0,1,1,1,1,1,1,0
2,66000.0,Бизнес,Вторичный рынок,3,75.0,9,9,1,1,1,1,1,1,1,1,0
0,39500.0,Бизнес,Новостройки,2,45.0,2,3,1,0,0,0,0,0,0,0,0
1,34000.0,Частное лицо,Вторичный рынок,2,56.0,4,4,0,0,1,1,1,1,1,1,0
0,39500.0,Бизнес,Вторичный рынок,2,54.0,1,4,0,0,1,1,1,1,1,1,0
0,38500.0,Бизнес,Вторичный рынок,2,54.0,4,4,1,1,1,1,1,1,1,1,0
0,43300.0,Бизнес,Вторичный рынок,2,52.0,1,4,1,0,0,0,0,0,0,0,0
0,38999.0,Бизнес,Вторичный рынок,3,49.0,3,4,0,0,0,0,0,0,0,0,0
0,41500.0,Бизнес,Вторичный рынок,2,62.0,4,5,0,0,1,1,1,1,1,1,0
0,25000.0,Бизнес,Вторичный рынок,1,40.0,5,5,0,1,1,1,1,1,1,1,0
0,50000.0,Бизнес,Вторичный рынок,3,65.0,2,4,1,0,1,1,1,1,1,1,0
0,34000.0,Бизнес,Вторичный рынок,1,29.0,4,4,1,0,1,1,1,1,1,1,0
1,43500.0,Бизнес,Вторичный рынок,2,59.0,2,4,0,0,1,1,1,1,1,1,0
0,43500.0,Бизнес,Вторичный рынок,2,50.0,3,4,0,0,1,1,1,1,1,1,0
0,51000.0,Бизнес,Вторичный рынок,3,65.0,3,4,1,1,1,1,1,1,1,1,0
0,43200.0,Бизнес,Вторичный рынок,2,49.0,1,4,1,0,0,0,0,0,0,0,0
0,29500.0,Бизнес,Вторичный рынок,1,28.0,3,5,1,1,1,1,1,1,1,1,0
2,90999.0,Бизнес,Новостройки,2,55.0,5,17,0,0,0,0,0,0,0,0,0
0,44555.0,Бизнес,Вторичный рынок,2,53.0,2,4,0,0,0,0,0,0,0,0,0
1,85000.0,Бизнес,Новостройки,4,295.0,8,8,0,0,0,0,0,0,0,0,0
0,35500.0,Бизнес,Вторичный рынок,1,33.0,4,4,0,0,1,1,1,1,1,1,0
1,85000.0,Бизнес,Новостройки,4,295.0,8,8,0,0,1,1,1,1,1,1,0
1,104000.0,Бизнес,Новостройки,3,115.0,8,9,0,0,1,1,1,1,1,1,0
0,51000.0,Бизнес,Вторичный рынок,3,70.0,4,5,1,0,1,1,1,1,1,1,0
2,125000.0,Бизнес,Новостройки,4,150.0,3,7,0,1,1,1,1,1,1,1,0
0,34700.0,Бизнес,Вторичный рынок,1,36.0,3,4,1,0,1,1,1,1,1,1,0
0,29500.0,Бизнес,Вторичный рынок,1,33.0,4,4,0,0,1,1,1,1,1,1,0
0,43800.0,Бизнес,Вторичный рынок,3,65.0,4,4,0,0,1,1,1,1,1,1,0
0,42500.0,Бизнес,Вторичный рынок,2,60.0,4,9,0,0,1,1,1,1,1,1,0
1,48500.0,Бизнес,Вторичный рынок,2,60.0,1,4,0,0,1,1,1,1,1,1,0
0,38000.0,Бизнес,Вторичный рынок,1,41.0,3,4,0,1,1,1,1,1,1,1,0
1,36000.0,Частное лицо,Вторичный рынок,2,46.0,5,9,0,0,1,1,0,1,1,0,0
0,39500.0,Бизнес,Вторичный рынок,2,45.0,4,2,1,0,1,1,1,1,1,1,0
2,105000.0,Частное лицо,Вторичный рынок,4,79.0,3,4,0,0,1,1,1,1,1,1,0
1,52500.0,Бизнес,Вторичный рынок,3,78.0,2,5,0,0,1,1,1,1,1,1,0
2,98000.0,Бизнес,Новостройки,3,90.0,5,7,0,0,0,0,0,0,0,0,0
1,42000.0,Бизнес,Вторичный рынок,1,35.0,4,5,1,0,0,0,0,0,0,0,0
1,82000.0,Бизнес,Новостройки,4,111.0,3,8,0,0,0,0,0,0,0,0,0
0,29500.0,Бизнес,Вторичный рынок,1,33.0,4,4,0,0,1,1,1,1,1,1,0
2,27000.0,Бизнес,Вторичный рынок,2,40.0,1,2,1,1,1,1,1,1,1,1,0
1,72000.0,Бизнес,Вторичный рынок,4,100.0,1,9,0,0,1,1,1,1,1,1,0
1,60000.0,Бизнес,Вторичный рынок,3,70.0,2,5,1,0,0,0,0,0,0,0,0
1,81000.0,Бизнес,Вторичный рынок,3,70.0,3,4,0,0,1,1,1,1,1,1,0
0,51000.0,Частное лицо,Вторичный рынок,4,92.0,4,5,0,0,1,1,1,1,1,1,0
1,99000.0,Бизнес,Вторичный рынок,5,170.0,4,4,1,0,0,0,0,0,0,0,0
1,33000.0,Бизнес,Вторичный рынок,1,30.0,2,5,1,0,0,0,0,0,0,0,0
2,55000.0,Бизнес,Новостройки,2,67.0,1,10,0,0,0,0,0,0,0,0,0
0,48500.0,Бизнес,Вторичный рынок,3,75.0,2,9,0,0,0,0,0,0,0,0,0
1,42000.0,Бизнес,Новостройки,2,48.0,4,7,0,0,0,0,0,0,0,0,0
1,75000.0,Бизнес,Вторичный рынок,5,100.0,4,4,1,0,0,0,0,0,0,0,0
1,44500.0,Бизнес,Вторичный рынок,3,70.0,8,9,0,0,1,1,1,1,1,1,0
0,44500.0,Бизнес,Вторичный рынок,2,54.0,3,4,0,0,1,1,1,1,1,1,0
1,52000.0,Бизнес,Вторичный рынок,3,70.0,1,4,0,0,1,1,1,1,1,1,0
1,43700.0,Бизнес,Новостройки,2,70.0,7,9,0,0,0,0,0,0,0,0,0
1,27800.0,Бизнес,Вторичный рынок,2,42.0,4,4,0,0,1,1,0,1,1,1,0
0,59000.0,Бизнес,Вторичный рынок,4,86.0,1,5,0,0,1,1,1,1,1,1,0
0,39200.0,Бизнес,Новостройки,2,62.0,3,7,0,0,1,1,1,1,1,1,0
1,79500.0,Бизнес,Вторичный рынок,2,60.0,3,4,1,0,0,0,0,0,0,0,0
2,61000.0,Частное лицо,Новостройки,2,70.0,1,7,0,0,0,0,0,0,0,0,0
1,35555.0,Бизнес,Вторичный рынок,1,30.0,2,4,1,0,0,0,0,0,0,0,0
1,57000.0,Бизнес,Вторичный рынок,3,72.0,2,4,0,0,1,1,1,1,1,1,0
2,55000.0,Бизнес,Новостройки,3,70.0,2,3,0,0,1,1,1,1,1,1,0
2,39500.0,Бизнес,Вторичный рынок,2,60.0,9,9,0,0,1,1,1,1,1,1,0
1,56000.0,Бизнес,Вторичный рынок,3,307.0,1,9,0,0,1,1,1,1,1,1,0
2,32500.0,Бизнес,Вторичный рынок,1,50.0,9,9,0,0,1,1,1,1,1,1,0
2,100000.0,Бизнес,Вторичный рынок,4,140.0,1,4,0,0,1,1,1,1,1,1,0
1,56500.0,Бизнес,Вторичный рынок,4,87.0,3,5,0,0,1,1,1,1,1,1,0
2,45000.0,Бизнес,Вторичный рынок,3,72.0,4,4,0,0,1,1,1,1,1,1,0
2,60000.0,Бизнес,Вторичный рынок,3,72.0,1,4,0,0,1,1,1,1,1,1,0
1,33500.0,Бизнес,Новостройки,3,35.0,5,7,1,1,1,1,1,1,1,1,0
1,67500.0,Бизнес,Вторичный рынок,3,75.0,1,9,0,0,1,1,1,1,1,1,0
2,31000.0,Бизнес,Вторичный рынок,1,42.0,2,5,0,0,1,1,1,1,1,1,0
0,30500.0,Бизнес,Вторичный рынок,1,30.0,2,4,0,0,1,1,1,1,1,1,0
1,66000.0,Бизнес,Вторичный рынок,2,60.0,4,4,1,1,1,1,1,1,1,1,0
2,90000.0,Бизнес,Новостройки,2,69.0,2,7,0,0,0,0,0,0,0,0,0
1,39500.0,Бизнес,Вторичный рынок,2,42.0,2,5,1,0,0,0,0,0,0,0,0
1,75000.0,Бизнес,Вторичный рынок,5,98.0,4,4,0,0,0,0,0,0,0,0,0
0,45500.0,Бизнес,Вторичный рынок,2,67.0,4,9,1,1,1,1,1,1,1,1,0
1,75000.0,Бизнес,Вторичный рынок,3,70.0,5,9,1,0,0,0,0,0,0,0,0
1,81000.0,Бизнес,Вторичный рынок,3,70.0,3,4,0,0,1,1,1,1,1,1,0
1,70000.0,Бизнес,Вторичный рынок,3,80.0,5,18,0,0,0,0,0,0,0,0,0
1,59000.0,Бизнес,Новостройки,3,105.0,4,7,0,0,1,1,1,1,1,1,0
0,35000.0,Бизнес,Вторичный рынок,1,30.0,1,4,0,0,0,0,0,0,0,0,0
0,40000.0,Бизнес,Вторичный рынок,2,45.0,3,4,0,0,1,1,1,1,1,1,0
1,45000.0,Бизнес,Вторичный рынок,3,74.0,8,9,1,0,1,1,1,1,1,1,0
2,66000.0,Бизнес,Вторичный рынок,3,70.0,2,9,0,0,1,1,1,1,1,1,0
0,41000.0,Бизнес,Вторичный рынок,2,50.0,3,4,1,1,1,1,1,1,1,1,0
2,87000.0,Бизнес,Вторичный рынок,2,60.0,2,4,0,0,1,1,1,1,1,1,0
0,35500.0,Бизнес,Вторичный рынок,2,50.0,4,4,0,0,1,1,1,1,1,1,0
2,120000.0,Бизнес,Вторичный рынок,3,100.0,8,9,1,0,1,1,1,1,1,1,0
0,51000.0,Бизнес,Вторичный рынок,3,65.0,2,4,1,1,1,1,1,1,1,1,0
0,54000.0,Бизнес,Вторичный рынок,3,70.0,3,4,0,0,1,1,1,1,1,1,0
0,41500.0,Бизнес,Вторичный рынок,2,50.0,2,4,0,0,1,1,1,1,1,1,0
0,66000.0,Бизнес,Новостройки,2,70.0,9,9,0,0,1,1,1,1,1,1,0
0,45000.0,Бизнес,Вторичный рынок,3,75.0,9,9,0,0,1,1,1,1,1,1,0
0,41000.0,Бизнес,Вторичный рынок,3,60.0,4,4,0,0,1,1,1,1,1,1,0
1,34200.0,Бизнес,Вторичный рынок,1,38.0,2,5,0,0,1,1,1,1,1,1,0
2,75000.0,Бизнес,Вторичный рынок,3,75.0,4,9,1,1,1,1,1,1,1,1,0
0,44000.0,Бизнес,Вторичный рынок,2,45.0,2,4,1,1,1,1,1,1,1,1,0
0,58000.0,Бизнес,Вторичный рынок,3,95.0,3,4,0,0,1,1,1,1,1,1,0
1,65000.0,Частное лицо,Вторичный рынок,2,70.37,7,9,0,1,0,0,0,0,0,0,0
0,56000.0,Бизнес,Вторичный рынок,3,95.0,2,4,0,0,1,1,1,1,1,1,0
0,33500.0,Бизнес,Вторичный рынок,1,45.0,2,4,0,0,1,1,1,1,1,1,0
2,75000.0,Бизнес,Вторичный рынок,3,75.0,3,6,1,0,1,1,1,1,1,1,0
0,54000.0,Бизнес,Вторичный рынок,3,75.0,9,9,0,0,1,1,1,1,1,1,0
